Date,State,StateAbbreviation,AverageWildfireSize,NumberOfWildfires
2000-07-01,Alaska,AK,92.1717948717949,39
2000-08-01,Alaska,AK,1.652,25
2000-09-01,Alaska,AK,0.116666666666667,6
2000-10-01,Alaska,AK,0.0,0
2000-11-01,Alaska,AK,0.1,1
2000-12-01,Alaska,AK,12891.0,1
2001-01-01,Alaska,AK,0.0,0
2001-02-01,Alaska,AK,0.0,0
2001-03-01,Alaska,AK,0.866666666666667,3
2001-04-01,Alaska,AK,0.557142857142857,28
2001-05-01,Alaska,AK,13.6008,125
2001-06-01,Alaska,AK,1609.05789473684,133
2001-07-01,Alaska,AK,17.41875,32
2001-08-01,Alaska,AK,0.268,25
2001-09-01,Alaska,AK,301.391666666667,12
2001-10-01,Alaska,AK,6.96666666666667,3
2001-11-01,Alaska,AK,0.0,0
2001-12-01,Alaska,AK,0.0,0
2002-01-01,Alaska,AK,0.1,1
2002-02-01,Alaska,AK,0.0,0
2002-03-01,Alaska,AK,0.1,1
2002-04-01,Alaska,AK,30.23,20
2002-05-01,Alaska,AK,2755.61896551724,232
2002-06-01,Alaska,AK,5975.60752688172,93
2002-07-01,Alaska,AK,6263.3722972973,148
2002-08-01,Alaska,AK,1829.12571428571,35
2002-09-01,Alaska,AK,0.385714285714286,7
2002-10-01,Alaska,AK,0.0,0
2002-11-01,Alaska,AK,5.0,1
2002-12-01,Alaska,AK,0.0,0
2003-01-01,Alaska,AK,432.7,1
2003-02-01,Alaska,AK,0.0,0
2003-03-01,Alaska,AK,6.25555555555556,45
2003-04-01,Alaska,AK,14.2738095238095,42
2003-05-01,Alaska,AK,96.5592592592592,135
2003-06-01,Alaska,AK,3818.08357142857,140
2003-07-01,Alaska,AK,983.678431372549,51
2003-08-01,Alaska,AK,61.5807317073171,41
2003-09-01,Alaska,AK,6.65333333333333,15
2003-10-01,Alaska,AK,0.114285714285714,7
2003-11-01,Alaska,AK,0.1,1
2003-12-01,Alaska,AK,0.0,0
2004-01-01,Alaska,AK,0.1,1
2004-02-01,Alaska,AK,0.0,0
2004-03-01,Alaska,AK,0.1,1
2004-04-01,Alaska,AK,1.97857142857143,14
2004-05-01,Alaska,AK,111.145794392523,107
2004-06-01,Alaska,AK,21335.4694196429,224
2004-07-01,Alaska,AK,8166.89739682292,192
2004-08-01,Alaska,AK,1977.38017241379,116
2004-09-01,Alaska,AK,91.4,37
2004-10-01,Alaska,AK,0.375,2
2004-11-01,Alaska,AK,0.0,0
2004-12-01,Alaska,AK,0.0,0
2005-01-01,Alaska,AK,0.0,0
2005-02-01,Alaska,AK,0.0,0
2005-03-01,Alaska,AK,0.3,5
2005-04-01,Alaska,AK,142.135714285714,42
2005-05-01,Alaska,AK,1980.2125,128
2005-06-01,Alaska,AK,9775.9342920354,226
2005-07-01,Alaska,AK,10661.7986928105,153
2005-08-01,Alaska,AK,8930.21836666667,60
2005-09-01,Alaska,AK,6.16,5
2005-10-01,Alaska,AK,0.0,0
2005-11-01,Alaska,AK,0.0,0
2005-12-01,Alaska,AK,0.0,0
2006-01-01,Alaska,AK,0.0,0
2006-02-01,Alaska,AK,0.0,0
2006-03-01,Alaska,AK,0.0,0
2006-04-01,Alaska,AK,6.78571428571429,14
2006-05-01,Alaska,AK,588.534188034188,117
2006-06-01,Alaska,AK,2330.23676470588,68
2006-07-01,Alaska,AK,381.632394366197,71
2006-08-01,Alaska,AK,0.2,11
2006-09-01,Alaska,AK,0.257142857142857,14
2006-10-01,Alaska,AK,0.416666666666667,6
2006-11-01,Alaska,AK,0.0,0
2006-12-01,Alaska,AK,0.0,0
2007-01-01,Alaska,AK,0.0,0
2007-02-01,Alaska,AK,0.0,0
2007-03-01,Alaska,AK,0.0,0
2007-04-01,Alaska,AK,768.647727272727,44
2007-05-01,Alaska,AK,406.825,124
2007-06-01,Alaska,AK,827.811612903226,155
2007-07-01,Alaska,AK,2642.53333345912,159
2007-08-01,Alaska,AK,2.48666666666667,15
2007-09-01,Alaska,AK,140.65,12
2007-10-01,Alaska,AK,0.2,2
2007-11-01,Alaska,AK,0.1,2
2007-12-01,Alaska,AK,0.0,0
2008-01-01,Alaska,AK,0.0,0
2008-02-01,Alaska,AK,0.0,0
2008-03-01,Alaska,AK,17.2538461538462,13
2008-04-01,Alaska,AK,3.9125,24
2008-05-01,Alaska,AK,11.2991150442478,113
2008-06-01,Alaska,AK,158.758695652174,92
2008-07-01,Alaska,AK,827.195652173913,92
2008-08-01,Alaska,AK,6.49047619047619,21
2008-09-01,Alaska,AK,2.75,14
2008-10-01,Alaska,AK,0.0,0
2008-11-01,Alaska,AK,0.0,0
2008-12-01,Alaska,AK,0.0,0
2009-01-01,Alaska,AK,0.1,1
2009-02-01,Alaska,AK,0.0,0
2009-03-01,Alaska,AK,1000.0,1
2009-04-01,Alaska,AK,8.95185185185185,27
2009-05-01,Alaska,AK,2062.09512345679,162
2009-06-01,Alaska,AK,12049.2065853659,123
2009-07-01,Alaska,AK,6968.03869863014,146
2009-08-01,Alaska,AK,3190.56388888889,36
2009-09-01,Alaska,AK,5.72857142857143,7
2009-10-01,Alaska,AK,0.15,8
2009-11-01,Alaska,AK,2.55,2
2009-12-01,Alaska,AK,0.0,0
2010-01-01,Alaska,AK,0.0,0
2010-02-01,Alaska,AK,0.0,0
2010-03-01,Alaska,AK,0.25,2
2010-04-01,Alaska,AK,33.1695744680851,47
2010-05-01,Alaska,AK,2667.22105263158,228
2010-06-01,Alaska,AK,1625.57871794872,195
2010-07-01,Alaska,AK,1601.66317829457,129
2010-08-01,Alaska,AK,3.26458333333333,48
2010-09-01,Alaska,AK,115.62,35
2010-10-01,Alaska,AK,6.81666666666667,6
2010-11-01,Alaska,AK,0.1,1
2010-12-01,Alaska,AK,0.0,0
2011-01-01,Alaska,AK,0.1,1
2011-02-01,Alaska,AK,0.0,0
2011-03-01,Alaska,AK,0.1,4
2011-04-01,Alaska,AK,0.888461538461539,39
2011-05-01,Alaska,AK,1154.22456521739,230
2011-06-01,Alaska,AK,29.7886363636364,88
2011-07-01,Alaska,AK,236.816666666667,105
2011-08-01,Alaska,AK,0.115217391304348,23
2011-09-01,Alaska,AK,0.425,12
2011-10-01,Alaska,AK,0.4,6
2011-11-01,Alaska,AK,0.0,0
2011-12-01,Alaska,AK,0.0,0
2012-01-01,Alaska,AK,0.0,0
2012-02-01,Alaska,AK,0.0,0
2012-03-01,Alaska,AK,0.0,0
2012-04-01,Alaska,AK,0.610526315789474,19
2012-05-01,Alaska,AK,2.05326086956522,92
2012-06-01,Alaska,AK,1323.72012987013,154
2012-07-01,Alaska,AK,1309.77547169811,53
2012-08-01,Alaska,AK,1.69230769230769,26
2012-09-01,Alaska,AK,253.524390243902,41
2012-10-01,Alaska,AK,2.51428571428571,7
2012-11-01,Alaska,AK,1665.35,10
2012-12-01,Alaska,AK,0.842857142857143,7
2013-01-01,Alaska,AK,0.0,0
2013-02-01,Alaska,AK,0.1,1
2013-03-01,Alaska,AK,26.8,1
2013-04-01,Alaska,AK,12.3428571428571,7
2013-05-01,Alaska,AK,4395.20775862069,116
2013-06-01,Alaska,AK,2522.26421052632,285
2013-07-01,Alaska,AK,749.531132075472,106
2013-08-01,Alaska,AK,219.336842105263,57
2013-09-01,Alaska,AK,0.2125,16
2013-10-01,Alaska,AK,0.15,2
2013-11-01,Alaska,AK,0.4,1
2013-12-01,Alaska,AK,0.0,0
2014-01-01,Alaska,AK,0.0,0
2014-02-01,Alaska,AK,0.3,1
2014-03-01,Alaska,AK,1.0,5
2014-04-01,Alaska,AK,0.777142857142857,35
2014-05-01,Alaska,AK,1271.83474285714,175
2014-06-01,Alaska,AK,50.3770491803279,61
2014-07-01,Alaska,AK,38.5943396226415,53
2014-08-01,Alaska,AK,142.992682926829,41
2014-09-01,Alaska,AK,0.95,16
2014-10-01,Alaska,AK,0.166666666666667,3
2014-11-01,Alaska,AK,0.266666666666667,3
2014-12-01,Alaska,AK,0.0,0
2015-01-01,Alaska,AK,2.0,1
2015-02-01,Alaska,AK,0.1,1
2015-03-01,Alaska,AK,0.177777777777778,9
2015-04-01,Alaska,AK,6.76444444444444,45
2015-05-01,Alaska,AK,646.562025316456,158
2015-06-01,Alaska,AK,12060.571080402,398
2015-07-01,Alaska,AK,1975.74112068966,116
2015-08-01,Alaska,AK,159.393548387097,31
2015-09-01,Alaska,AK,0.433333333333333,9
2015-10-01,Alaska,AK,0.1,2
2015-11-01,Alaska,AK,0.0,0
2015-12-01,Alaska,AK,0.3,1
1992-01-01,Alabama,AL,5.33333333333333,9
1992-02-01,Alabama,AL,8.95555555555556,27
1992-03-01,Alabama,AL,6.62142857142857,14
1992-04-01,Alabama,AL,33.9111111111111,18
1992-05-01,Alabama,AL,20.49,10
1992-06-01,Alabama,AL,0.0,0
1992-07-01,Alabama,AL,0.0,0
1992-08-01,Alabama,AL,2.55,2
1992-09-01,Alabama,AL,0.1,1
1992-10-01,Alabama,AL,0.8,4
1992-11-01,Alabama,AL,5.81666666666667,6
1992-12-01,Alabama,AL,6.05,2
1993-01-01,Alabama,AL,14.2,18
1993-02-01,Alabama,AL,26.7029411764706,34
1993-03-01,Alabama,AL,19.5291666666667,24
1993-04-01,Alabama,AL,4.10714285714286,14
1993-05-01,Alabama,AL,0.0,0
1993-06-01,Alabama,AL,2.4,3
1993-07-01,Alabama,AL,16.9153846153846,13
1993-08-01,Alabama,AL,21.8666666666667,3
1993-09-01,Alabama,AL,25.775,4
1993-10-01,Alabama,AL,8.35833333333333,12
1993-11-01,Alabama,AL,10.5,7
1993-12-01,Alabama,AL,15.5,5
1994-01-01,Alabama,AL,7.21934731934732,429
1994-02-01,Alabama,AL,10.7736170212766,705
1994-03-01,Alabama,AL,14.2858474576271,1180
1994-04-01,Alabama,AL,8.40037878787879,264
1994-05-01,Alabama,AL,5.8141592920354,226
1994-06-01,Alabama,AL,3.4047619047619,42
1994-07-01,Alabama,AL,7.20666666666667,15
1994-08-01,Alabama,AL,2.23191489361702,47
1994-09-01,Alabama,AL,3.48969072164948,97
1994-10-01,Alabama,AL,3.71666666666667,36
1994-11-01,Alabama,AL,8.79807692307692,260
1994-12-01,Alabama,AL,3.09337748344371,151
1995-01-01,Alabama,AL,5.60326086956522,184
1995-02-01,Alabama,AL,10.5345403899721,718
1995-03-01,Alabama,AL,9.11103351955307,716
1995-04-01,Alabama,AL,14.2006644518272,602
1995-05-01,Alabama,AL,7.33488372093023,172
1995-06-01,Alabama,AL,5.44764705882353,170
1995-07-01,Alabama,AL,9.8717277486911,382
1995-08-01,Alabama,AL,9.67573964497041,338
1995-09-01,Alabama,AL,6.50949494949495,495
1995-10-01,Alabama,AL,4.97664670658683,167
1995-11-01,Alabama,AL,6.62727272727273,66
1995-12-01,Alabama,AL,6.86227272727273,220
1996-01-01,Alabama,AL,6.72741935483871,248
1996-02-01,Alabama,AL,10.5207885304659,1116
1996-03-01,Alabama,AL,16.9607305936073,1095
1996-04-01,Alabama,AL,12.0576709796673,541
1996-05-01,Alabama,AL,9.57091503267974,306
1996-06-01,Alabama,AL,8.14705882352941,85
1996-07-01,Alabama,AL,5.94406779661017,236
1996-08-01,Alabama,AL,6.09032258064516,62
1996-09-01,Alabama,AL,1.49032258064516,31
1996-10-01,Alabama,AL,5.16464646464646,99
1996-11-01,Alabama,AL,21.1442477876106,113
1996-12-01,Alabama,AL,7.1551724137931,116
1997-01-01,Alabama,AL,7.82254901960784,204
1997-02-01,Alabama,AL,12.2434579439252,214
1997-03-01,Alabama,AL,9.72433333333333,600
1997-04-01,Alabama,AL,9.13117505995204,417
1997-05-01,Alabama,AL,13.5886075949367,158
1997-06-01,Alabama,AL,4.84285714285714,7
1997-07-01,Alabama,AL,3.20909090909091,33
1997-08-01,Alabama,AL,2.13,60
1997-09-01,Alabama,AL,6.05490716180371,377
1997-10-01,Alabama,AL,7.99885714285714,350
1997-11-01,Alabama,AL,3.26478873239437,71
1997-12-01,Alabama,AL,4.685,100
1998-01-01,Alabama,AL,6.63015873015873,126
1998-02-01,Alabama,AL,8.93989071038251,366
1998-03-01,Alabama,AL,12.7989159891599,738
1998-04-01,Alabama,AL,11.3662251655629,151
1998-05-01,Alabama,AL,6.66866359447005,217
1998-06-01,Alabama,AL,6.93416370106762,281
1998-07-01,Alabama,AL,8.85428571428571,105
1998-08-01,Alabama,AL,6.18231292517007,147
1998-09-01,Alabama,AL,8.56865671641791,536
1998-10-01,Alabama,AL,8.04097807757167,593
1998-11-01,Alabama,AL,7.76197916666667,192
1998-12-01,Alabama,AL,36.8929824561404,114
1999-01-01,Alabama,AL,8.23155080213904,187
1999-02-01,Alabama,AL,10.5149253731343,469
1999-03-01,Alabama,AL,12.203358778626,655
1999-04-01,Alabama,AL,12.7711504424779,565
1999-05-01,Alabama,AL,11.0323699421965,173
1999-06-01,Alabama,AL,5.62,50
1999-07-01,Alabama,AL,5.05526315789474,38
1999-08-01,Alabama,AL,10.2088992974239,427
1999-09-01,Alabama,AL,14.5292481977343,971
1999-10-01,Alabama,AL,7.09040247678019,323
1999-11-01,Alabama,AL,13.0060846560847,378
1999-12-01,Alabama,AL,10.6158490566038,265
2000-01-01,Alabama,AL,10.3858237547893,261
2000-02-01,Alabama,AL,15.1345155709343,1156
2000-03-01,Alabama,AL,15.6377443609023,665
2000-04-01,Alabama,AL,15.3069672131148,244
2000-05-01,Alabama,AL,14.4982524271845,515
2000-06-01,Alabama,AL,8.90692771084337,332
2000-07-01,Alabama,AL,15.07,900
2000-08-01,Alabama,AL,15.5476858345021,713
2000-09-01,Alabama,AL,18.2269230769231,442
2000-10-01,Alabama,AL,11.2449408672799,761
2000-11-01,Alabama,AL,8.80892857142857,168
2000-12-01,Alabama,AL,7.11588785046729,107
2001-01-01,Alabama,AL,8.84809160305343,262
2001-02-01,Alabama,AL,13.9525821596244,639
2001-03-01,Alabama,AL,12.8401294498382,309
2001-04-01,Alabama,AL,14.2813291139241,316
2001-05-01,Alabama,AL,14.3178913738019,313
2001-06-01,Alabama,AL,15.9714285714286,42
2001-07-01,Alabama,AL,5.61538461538461,52
2001-08-01,Alabama,AL,3.32708333333333,48
2001-09-01,Alabama,AL,3.62950819672131,61
2001-10-01,Alabama,AL,5.46176470588235,272
2001-11-01,Alabama,AL,12.6646992054484,881
2001-12-01,Alabama,AL,8.00087719298246,114
2002-01-01,Alabama,AL,9.17718120805369,149
2002-02-01,Alabama,AL,18.5099496221662,794
2002-03-01,Alabama,AL,15.0512937595129,657
2002-04-01,Alabama,AL,13.0152694610778,334
2002-05-01,Alabama,AL,9.13392857142857,224
2002-06-01,Alabama,AL,10.045251396648,179
2002-07-01,Alabama,AL,3.62,60
2002-08-01,Alabama,AL,8.73986928104575,153
2002-09-01,Alabama,AL,8.16086956521739,253
2002-10-01,Alabama,AL,3.40909090909091,11
2002-11-01,Alabama,AL,6.78,35
2002-12-01,Alabama,AL,8.54415584415584,77
2003-01-01,Alabama,AL,11.2823275862069,348
2003-02-01,Alabama,AL,15.6245161290323,155
2003-03-01,Alabama,AL,12.8989035087719,228
2003-04-01,Alabama,AL,13.8635,200
2003-05-01,Alabama,AL,43.4290322580645,31
2003-06-01,Alabama,AL,7.175,18
2003-07-01,Alabama,AL,2.415625,16
2003-08-01,Alabama,AL,3.585,32
2003-09-01,Alabama,AL,6.29076086956522,92
2003-10-01,Alabama,AL,7.42200956937799,209
2003-11-01,Alabama,AL,10.797619047619,294
2003-12-01,Alabama,AL,8.84328358208955,201
2004-01-01,Alabama,AL,7.9221722846442,267
2004-02-01,Alabama,AL,11.8398338870432,301
2004-03-01,Alabama,AL,18.9262893081761,1431
2004-04-01,Alabama,AL,18.109841827768,569
2004-05-01,Alabama,AL,9.2,78
2004-06-01,Alabama,AL,18.5892857142857,14
2004-07-01,Alabama,AL,4.22166666666667,30
2004-08-01,Alabama,AL,7.17205479452055,73
2004-09-01,Alabama,AL,6.72021276595745,94
2004-10-01,Alabama,AL,7.46842105263158,76
2004-11-01,Alabama,AL,12.3933333333333,30
2004-12-01,Alabama,AL,6.82032967032967,91
2005-01-01,Alabama,AL,14.9898826979472,341
2005-02-01,Alabama,AL,20.9532038834951,206
2005-03-01,Alabama,AL,23.3257083333333,480
2005-04-01,Alabama,AL,20.5953367875648,193
2005-05-01,Alabama,AL,12.19453125,128
2005-06-01,Alabama,AL,5.606,20
2005-07-01,Alabama,AL,2.97235294117647,17
2005-08-01,Alabama,AL,7.50588235294118,34
2005-09-01,Alabama,AL,37.4594117647059,170
2005-10-01,Alabama,AL,11.0131067961165,309
2005-11-01,Alabama,AL,11.0603991596639,476
2005-12-01,Alabama,AL,9.21485549132948,173
2006-01-01,Alabama,AL,12.309793814433,388
2006-02-01,Alabama,AL,16.5965909090909,264
2006-03-01,Alabama,AL,28.6426388888889,1080
2006-04-01,Alabama,AL,19.9361283643892,483
2006-05-01,Alabama,AL,10.8035,120
2006-06-01,Alabama,AL,18.0591216216216,444
2006-07-01,Alabama,AL,17.6167070217918,413
2006-08-01,Alabama,AL,21.3374251497006,167
2006-09-01,Alabama,AL,11.6116788321168,137
2006-10-01,Alabama,AL,13.7937106918239,159
2006-11-01,Alabama,AL,9.89147727272727,88
2006-12-01,Alabama,AL,24.6080882352941,204
2007-01-01,Alabama,AL,13.6381578947368,76
2007-02-01,Alabama,AL,13.1142276422764,492
2007-03-01,Alabama,AL,22.1996421845574,1062
2007-04-01,Alabama,AL,17.6736480686695,233
2007-05-01,Alabama,AL,14.857595959596,495
2007-06-01,Alabama,AL,10.9099751243781,402
2007-07-01,Alabama,AL,10.4192405063291,79
2007-08-01,Alabama,AL,10.6327817745803,417
2007-09-01,Alabama,AL,7.51796875,128
2007-10-01,Alabama,AL,10.3454166666667,240
2007-11-01,Alabama,AL,4.92932330827068,133
2007-12-01,Alabama,AL,6.63684210526316,76
2008-01-01,Alabama,AL,5.54722222222222,108
2008-02-01,Alabama,AL,11.4821862348178,247
2008-03-01,Alabama,AL,15.8231656184486,477
2008-04-01,Alabama,AL,9.2546875,128
2008-05-01,Alabama,AL,6.09882352941176,85
2008-06-01,Alabama,AL,15.9020348837209,172
2008-07-01,Alabama,AL,10.1125362318841,138
2008-08-01,Alabama,AL,11.6406666666667,75
2008-09-01,Alabama,AL,8.2795,100
2008-10-01,Alabama,AL,7.0409375,160
2008-11-01,Alabama,AL,11.5786991869919,246
2008-12-01,Alabama,AL,10.5769736842105,76
2009-01-01,Alabama,AL,9.86844262295082,122
2009-02-01,Alabama,AL,15.673567961165,412
2009-03-01,Alabama,AL,21.2698383371824,433
2009-04-01,Alabama,AL,21.0041666666667,144
2009-05-01,Alabama,AL,16.1684210526316,19
2009-06-01,Alabama,AL,35.3206315789474,95
2009-07-01,Alabama,AL,9.8235593220339,118
2009-08-01,Alabama,AL,8.5625,20
2009-09-01,Alabama,AL,3.05,5
2009-10-01,Alabama,AL,5.5,2
2009-11-01,Alabama,AL,6.25,2
2009-12-01,Alabama,AL,0.0,0
2010-01-01,Alabama,AL,6.84117117117117,111
2010-02-01,Alabama,AL,14.1697354497354,189
2010-03-01,Alabama,AL,14.4034117647059,340
2010-04-01,Alabama,AL,18.2853101736973,403
2010-05-01,Alabama,AL,18.9392857142857,42
2010-06-01,Alabama,AL,11.13,39
2010-07-01,Alabama,AL,15.0554651162791,86
2010-08-01,Alabama,AL,14.7189655172414,116
2010-09-01,Alabama,AL,14.3516453382084,547
2010-10-01,Alabama,AL,13.5136243386243,756
2010-11-01,Alabama,AL,17.8372580645161,124
2010-12-01,Alabama,AL,11.6545,160
2011-01-01,Alabama,AL,11.35,137
2011-02-01,Alabama,AL,38.6787162162162,444
2011-03-01,Alabama,AL,24.0063333333333,300
2011-04-01,Alabama,AL,17.7310924369748,119
2011-05-01,Alabama,AL,19.5839010989011,182
2011-06-01,Alabama,AL,43.3885144927536,276
2011-07-01,Alabama,AL,23.3711111111111,81
2011-08-01,Alabama,AL,17.1154421768707,147
2011-09-01,Alabama,AL,8.78082191780822,73
2011-10-01,Alabama,AL,7.2216,125
2011-11-01,Alabama,AL,31.5875,120
2011-12-01,Alabama,AL,20.375,38
2012-01-01,Alabama,AL,15.1183431952663,169
2012-02-01,Alabama,AL,20.8206106870229,131
2012-03-01,Alabama,AL,18.150447761194,335
2012-04-01,Alabama,AL,14.1041401273885,157
2012-05-01,Alabama,AL,24.0832110091743,109
2012-06-01,Alabama,AL,16.6298181818182,165
2012-07-01,Alabama,AL,17.0056666666667,180
2012-08-01,Alabama,AL,10.7222222222222,36
2012-09-01,Alabama,AL,10.4268292682927,41
2012-10-01,Alabama,AL,12.9685,100
2012-11-01,Alabama,AL,13.9617370892019,213
2012-12-01,Alabama,AL,18.6036036036036,111
2013-01-01,Alabama,AL,10.7052747252747,91
2013-02-01,Alabama,AL,15.3372519083969,131
2013-03-01,Alabama,AL,25.2758170914543,667
2013-04-01,Alabama,AL,20.1680132450331,151
2013-05-01,Alabama,AL,9.05381443298969,97
2013-06-01,Alabama,AL,7.06806451612903,31
2013-07-01,Alabama,AL,0.815384615384615,13
2013-08-01,Alabama,AL,3.925,16
2013-09-01,Alabama,AL,7.89324324324324,74
2013-10-01,Alabama,AL,6.90384615384615,78
2013-11-01,Alabama,AL,15.5886639676113,247
2013-12-01,Alabama,AL,12.2159459459459,74
2014-01-01,Alabama,AL,20.381375,400
2014-02-01,Alabama,AL,12.7428571428571,175
2014-03-01,Alabama,AL,19.7204393305439,478
2014-04-01,Alabama,AL,32.9319653179191,173
2014-05-01,Alabama,AL,12.7960526315789,76
2014-06-01,Alabama,AL,5.04285714285714,21
2014-07-01,Alabama,AL,11.0697692307692,65
2014-08-01,Alabama,AL,14.1386524822695,141
2014-09-01,Alabama,AL,11.1852,125
2014-10-01,Alabama,AL,9.98156862745098,204
2014-11-01,Alabama,AL,9.55847352024922,321
2014-12-01,Alabama,AL,9.04271966527197,239
2015-01-01,Alabama,AL,9.86397306397306,297
2015-02-01,Alabama,AL,18.6025268817204,558
2015-03-01,Alabama,AL,16.2137185929648,199
2015-04-01,Alabama,AL,12.2214285714286,77
2015-05-01,Alabama,AL,11.4278260869565,115
2015-06-01,Alabama,AL,13.1483695652174,92
2015-07-01,Alabama,AL,10.8730769230769,65
2015-08-01,Alabama,AL,9.81347826086957,115
2015-09-01,Alabama,AL,23.9158088235294,136
2015-10-01,Alabama,AL,16.1444444444444,279
2015-11-01,Alabama,AL,5.18416666666667,84
2015-12-01,Alabama,AL,14.1201754385965,57
1992-01-01,Arkansas,AR,4.02,5
1992-02-01,Arkansas,AR,16.9038461538462,26
1992-03-01,Arkansas,AR,8.37692307692308,26
1992-04-01,Arkansas,AR,18.925,24
1992-05-01,Arkansas,AR,3.05,6
1992-06-01,Arkansas,AR,32.0,2
1992-07-01,Arkansas,AR,2.06666666666667,3
1992-08-01,Arkansas,AR,3.7,3
1992-09-01,Arkansas,AR,1.325,4
1992-10-01,Arkansas,AR,7.325,12
1992-11-01,Arkansas,AR,9.28666666666667,15
1992-12-01,Arkansas,AR,7.4,2
1993-01-01,Arkansas,AR,7.72777777777778,18
1993-02-01,Arkansas,AR,8.025,20
