Date,State,StateAbbreviation,NumberOfFloods
2012-09-01,Alaska,AK,12
2012-10-01,Alaska,AK,3
2012-11-01,Alaska,AK,0
2012-12-01,Alaska,AK,0
2013-01-01,Alaska,AK,0
2013-02-01,Alaska,AK,0
2013-03-01,Alaska,AK,0
2013-04-01,Alaska,AK,0
2013-05-01,Alaska,AK,12
2013-06-01,Alaska,AK,6
2013-07-01,Alaska,AK,0
2013-08-01,Alaska,AK,0
2013-09-01,Alaska,AK,6
2013-10-01,Alaska,AK,2
2013-11-01,Alaska,AK,13
2013-12-01,Alaska,AK,1
2014-01-01,Alaska,AK,4
2014-02-01,Alaska,AK,0
2014-03-01,Alaska,AK,0
2014-04-01,Alaska,AK,2
2014-05-01,Alaska,AK,2
2014-06-01,Alaska,AK,11
2014-07-01,Alaska,AK,16
2014-08-01,Alaska,AK,6
2014-09-01,Alaska,AK,8
2014-10-01,Alaska,AK,0
2014-11-01,Alaska,AK,0
2014-12-01,Alaska,AK,0
2015-01-01,Alaska,AK,0
2015-02-01,Alaska,AK,0
2015-03-01,Alaska,AK,0
2015-04-01,Alaska,AK,0
2015-05-01,Alaska,AK,3
2015-06-01,Alaska,AK,0
2015-07-01,Alaska,AK,2
2015-08-01,Alaska,AK,6
2015-09-01,Alaska,AK,8
2015-10-01,Alaska,AK,0
2015-11-01,Alaska,AK,1
2015-12-01,Alaska,AK,0
2016-01-01,Alaska,AK,0
2016-02-01,Alaska,AK,0
2016-03-01,Alaska,AK,0
2016-04-01,Alaska,AK,0
2016-05-01,Alaska,AK,1
2016-06-01,Alaska,AK,0
2016-07-01,Alaska,AK,5
2016-08-01,Alaska,AK,1
2016-09-01,Alaska,AK,2
2016-10-01,Alaska,AK,0
2016-11-01,Alaska,AK,0
2016-12-01,Alaska,AK,5
2017-01-01,Alaska,AK,5
2017-02-01,Alaska,AK,0
2017-03-01,Alaska,AK,0
2017-04-01,Alaska,AK,0
2017-05-01,Alaska,AK,0
2017-06-01,Alaska,AK,0
2017-07-01,Alaska,AK,0
2017-08-01,Alaska,AK,0
2017-09-01,Alaska,AK,4
2017-10-01,Alaska,AK,4
2017-11-01,Alaska,AK,0
2017-12-01,Alaska,AK,0
2018-01-01,Alaska,AK,0
2018-02-01,Alaska,AK,0
2018-03-01,Alaska,AK,0
2018-04-01,Alaska,AK,0
2018-05-01,Alaska,AK,4
2018-06-01,Alaska,AK,0
2018-07-01,Alaska,AK,2
2018-08-01,Alaska,AK,3
2018-09-01,Alaska,AK,0
2018-10-01,Alaska,AK,0
2018-11-01,Alaska,AK,0
2018-12-01,Alaska,AK,0
2019-01-01,Alaska,AK,0
2019-02-01,Alaska,AK,0
2019-03-01,Alaska,AK,1
2019-04-01,Alaska,AK,0
2019-05-01,Alaska,AK,1
2019-06-01,Alaska,AK,1
2019-07-01,Alaska,AK,1
2019-08-01,Alaska,AK,4
2019-09-01,Alaska,AK,1
2019-10-01,Alaska,AK,0
2019-11-01,Alaska,AK,0
2019-12-01,Alaska,AK,2
2020-01-01,Alaska,AK,2
2020-02-01,Alaska,AK,0
2020-03-01,Alaska,AK,0
2020-04-01,Alaska,AK,2
2020-05-01,Alaska,AK,2
2020-06-01,Alaska,AK,1
2020-07-01,Alaska,AK,1
2020-08-01,Alaska,AK,2
2020-09-01,Alaska,AK,0
2020-10-01,Alaska,AK,0
2020-11-01,Alaska,AK,1
2020-12-01,Alaska,AK,0
2021-01-01,Alaska,AK,0
2021-02-01,Alaska,AK,0
2021-03-01,Alaska,AK,0
2021-04-01,Alaska,AK,0
2021-05-01,Alaska,AK,0
2021-06-01,Alaska,AK,0
2021-07-01,Alaska,AK,0
2021-08-01,Alaska,AK,0
2021-09-01,Alaska,AK,0
2021-10-01,Alaska,AK,0
2021-11-01,Alaska,AK,0
2021-12-01,Alaska,AK,0
2006-01-01,Alabama,AL,0
2006-02-01,Alabama,AL,0
2006-03-01,Alabama,AL,0
2006-04-01,Alabama,AL,0
2006-05-01,Alabama,AL,0
2006-06-01,Alabama,AL,0
2006-07-01,Alabama,AL,0
2006-08-01,Alabama,AL,0
2006-09-01,Alabama,AL,0
2006-10-01,Alabama,AL,2
2006-11-01,Alabama,AL,13
2006-12-01,Alabama,AL,0
2007-01-01,Alabama,AL,3
2007-02-01,Alabama,AL,3
2007-03-01,Alabama,AL,5
2007-04-01,Alabama,AL,5
2007-05-01,Alabama,AL,1
2007-06-01,Alabama,AL,1
2007-07-01,Alabama,AL,6
2007-08-01,Alabama,AL,2
2007-09-01,Alabama,AL,1
2007-10-01,Alabama,AL,6
2007-11-01,Alabama,AL,0
2007-12-01,Alabama,AL,0
2008-01-01,Alabama,AL,4
2008-02-01,Alabama,AL,2
2008-03-01,Alabama,AL,2
2008-04-01,Alabama,AL,7
2008-05-01,Alabama,AL,16
2008-06-01,Alabama,AL,5
2008-07-01,Alabama,AL,5
2008-08-01,Alabama,AL,6
2008-09-01,Alabama,AL,3
2008-10-01,Alabama,AL,2
2008-11-01,Alabama,AL,1
2008-12-01,Alabama,AL,22
2009-01-01,Alabama,AL,27
2009-02-01,Alabama,AL,7
2009-03-01,Alabama,AL,21
2009-04-01,Alabama,AL,12
2009-05-01,Alabama,AL,47
2009-06-01,Alabama,AL,12
2009-07-01,Alabama,AL,6
2009-08-01,Alabama,AL,14
2009-09-01,Alabama,AL,82
2009-10-01,Alabama,AL,7
2009-11-01,Alabama,AL,6
2009-12-01,Alabama,AL,49
2010-01-01,Alabama,AL,15
2010-02-01,Alabama,AL,4
2010-03-01,Alabama,AL,6
2010-04-01,Alabama,AL,6
2010-05-01,Alabama,AL,46
2010-06-01,Alabama,AL,13
2010-07-01,Alabama,AL,6
2010-08-01,Alabama,AL,7
2010-09-01,Alabama,AL,0
2010-10-01,Alabama,AL,0
2010-11-01,Alabama,AL,6
2010-12-01,Alabama,AL,0
2011-01-01,Alabama,AL,6
2011-02-01,Alabama,AL,0
2011-03-01,Alabama,AL,63
2011-04-01,Alabama,AL,17
2011-05-01,Alabama,AL,0
2011-06-01,Alabama,AL,17
2011-07-01,Alabama,AL,10
2011-08-01,Alabama,AL,2
2011-09-01,Alabama,AL,42
2011-10-01,Alabama,AL,0
2011-11-01,Alabama,AL,3
2011-12-01,Alabama,AL,0
2012-01-01,Alabama,AL,21
2012-02-01,Alabama,AL,0
2012-03-01,Alabama,AL,7
2012-04-01,Alabama,AL,3
2012-05-01,Alabama,AL,8
2012-06-01,Alabama,AL,6
2012-07-01,Alabama,AL,17
2012-08-01,Alabama,AL,10
2012-09-01,Alabama,AL,21
2012-10-01,Alabama,AL,0
2012-11-01,Alabama,AL,0
2012-12-01,Alabama,AL,0
2013-01-01,Alabama,AL,24
2013-02-01,Alabama,AL,31
2013-03-01,Alabama,AL,0
2013-04-01,Alabama,AL,5
2013-05-01,Alabama,AL,16
2013-06-01,Alabama,AL,7
2013-07-01,Alabama,AL,62
2013-08-01,Alabama,AL,19
2013-09-01,Alabama,AL,12
2013-10-01,Alabama,AL,0
2013-11-01,Alabama,AL,0
2013-12-01,Alabama,AL,12
2014-01-01,Alabama,AL,0
2014-02-01,Alabama,AL,0
2014-03-01,Alabama,AL,8
2014-04-01,Alabama,AL,87
2014-05-01,Alabama,AL,18
2014-06-01,Alabama,AL,8
2014-07-01,Alabama,AL,6
2014-08-01,Alabama,AL,6
2014-09-01,Alabama,AL,10
2014-10-01,Alabama,AL,4
2014-11-01,Alabama,AL,0
2014-12-01,Alabama,AL,14
2015-01-01,Alabama,AL,5
2015-02-01,Alabama,AL,0
2015-03-01,Alabama,AL,6
2015-04-01,Alabama,AL,38
2015-05-01,Alabama,AL,8
2015-06-01,Alabama,AL,8
2015-07-01,Alabama,AL,4
2015-08-01,Alabama,AL,2
2015-09-01,Alabama,AL,6
2015-10-01,Alabama,AL,2
2015-11-01,Alabama,AL,10
2015-12-01,Alabama,AL,72
2016-01-01,Alabama,AL,0
2016-02-01,Alabama,AL,9
2016-03-01,Alabama,AL,20
2016-04-01,Alabama,AL,0
2016-05-01,Alabama,AL,1
2016-06-01,Alabama,AL,1
2016-07-01,Alabama,AL,3
2016-08-01,Alabama,AL,11
2016-09-01,Alabama,AL,0
2016-10-01,Alabama,AL,0
2016-11-01,Alabama,AL,4
2016-12-01,Alabama,AL,0
2017-01-01,Alabama,AL,32
2017-02-01,Alabama,AL,0
2017-03-01,Alabama,AL,0
2017-04-01,Alabama,AL,14
2017-05-01,Alabama,AL,9
2017-06-01,Alabama,AL,22
2017-07-01,Alabama,AL,20
2017-08-01,Alabama,AL,44
2017-09-01,Alabama,AL,0
2017-10-01,Alabama,AL,26
2017-11-01,Alabama,AL,0
2017-12-01,Alabama,AL,6
2018-01-01,Alabama,AL,0
2018-02-01,Alabama,AL,44
2018-03-01,Alabama,AL,6
2018-04-01,Alabama,AL,5
2018-05-01,Alabama,AL,13
2018-06-01,Alabama,AL,3
2018-07-01,Alabama,AL,4
2018-08-01,Alabama,AL,12
2018-09-01,Alabama,AL,30
2018-10-01,Alabama,AL,0
2018-11-01,Alabama,AL,2
2018-12-01,Alabama,AL,4
2019-01-01,Alabama,AL,12
2019-02-01,Alabama,AL,5
2019-03-01,Alabama,AL,0
2019-04-01,Alabama,AL,0
2019-05-01,Alabama,AL,1
2019-06-01,Alabama,AL,2
2019-07-01,Alabama,AL,11
2019-08-01,Alabama,AL,15
2019-09-01,Alabama,AL,4
2019-10-01,Alabama,AL,1
2019-11-01,Alabama,AL,13
2019-12-01,Alabama,AL,8
2020-01-01,Alabama,AL,0
2020-02-01,Alabama,AL,63
2020-03-01,Alabama,AL,16
2020-04-01,Alabama,AL,49
2020-05-01,Alabama,AL,1
2020-06-01,Alabama,AL,4
2020-07-01,Alabama,AL,7
2020-08-01,Alabama,AL,10
2020-09-01,Alabama,AL,29
2020-10-01,Alabama,AL,1
2020-11-01,Alabama,AL,0
2020-12-01,Alabama,AL,0
2021-01-01,Alabama,AL,0
2021-02-01,Alabama,AL,0
2021-03-01,Alabama,AL,0
2021-04-01,Alabama,AL,0
2021-05-01,Alabama,AL,0
2021-06-01,Alabama,AL,0
2021-07-01,Alabama,AL,0
2021-08-01,Alabama,AL,0
2021-09-01,Alabama,AL,0
2021-10-01,Alabama,AL,0
2021-11-01,Alabama,AL,0
2021-12-01,Alabama,AL,0
2006-01-01,Arkansas,AR,0
2006-02-01,Arkansas,AR,0
2006-03-01,Arkansas,AR,0
2006-04-01,Arkansas,AR,0
2006-05-01,Arkansas,AR,0
2006-06-01,Arkansas,AR,0
2006-07-01,Arkansas,AR,0
2006-08-01,Arkansas,AR,0
2006-09-01,Arkansas,AR,0
2006-10-01,Arkansas,AR,3
2006-11-01,Arkansas,AR,3
2006-12-01,Arkansas,AR,1
2007-01-01,Arkansas,AR,54
2007-02-01,Arkansas,AR,1
2007-03-01,Arkansas,AR,4
2007-04-01,Arkansas,AR,7
2007-05-01,Arkansas,AR,4
2007-06-01,Arkansas,AR,8
2007-07-01,Arkansas,AR,51
2007-08-01,Arkansas,AR,1
2007-09-01,Arkansas,AR,27
2007-10-01,Arkansas,AR,9
2007-11-01,Arkansas,AR,0
2007-12-01,Arkansas,AR,2
2008-01-01,Arkansas,AR,2
2008-02-01,Arkansas,AR,1
2008-03-01,Arkansas,AR,118
2008-04-01,Arkansas,AR,105
2008-05-01,Arkansas,AR,19
2008-06-01,Arkansas,AR,18
2008-07-01,Arkansas,AR,11
2008-08-01,Arkansas,AR,14
2008-09-01,Arkansas,AR,59
2008-10-01,Arkansas,AR,7
2008-11-01,Arkansas,AR,0
2008-12-01,Arkansas,AR,0
2009-01-01,Arkansas,AR,0
2009-02-01,Arkansas,AR,0
2009-03-01,Arkansas,AR,0
2009-04-01,Arkansas,AR,14
2009-05-01,Arkansas,AR,119
2009-06-01,Arkansas,AR,21
2009-07-01,Arkansas,AR,23
2009-08-01,Arkansas,AR,26
2009-09-01,Arkansas,AR,55
2009-10-01,Arkansas,AR,191
2009-11-01,Arkansas,AR,12
2009-12-01,Arkansas,AR,83
2010-01-01,Arkansas,AR,7
2010-02-01,Arkansas,AR,6
2010-03-01,Arkansas,AR,6
2010-04-01,Arkansas,AR,15
2010-05-01,Arkansas,AR,25
2010-06-01,Arkansas,AR,13
2010-07-01,Arkansas,AR,53
2010-08-01,Arkansas,AR,18
2010-09-01,Arkansas,AR,12
2010-10-01,Arkansas,AR,0
2010-11-01,Arkansas,AR,0
2010-12-01,Arkansas,AR,1
2011-01-01,Arkansas,AR,0
2011-02-01,Arkansas,AR,12
2011-03-01,Arkansas,AR,3
2011-04-01,Arkansas,AR,136
2011-05-01,Arkansas,AR,114
2011-06-01,Arkansas,AR,17
2011-07-01,Arkansas,AR,11
2011-08-01,Arkansas,AR,3
2011-09-01,Arkansas,AR,3
2011-10-01,Arkansas,AR,0
2011-11-01,Arkansas,AR,19
2011-12-01,Arkansas,AR,15
2012-01-01,Arkansas,AR,9
2012-02-01,Arkansas,AR,3
2012-03-01,Arkansas,AR,37
2012-04-01,Arkansas,AR,7
2012-05-01,Arkansas,AR,4
2012-06-01,Arkansas,AR,2
2012-07-01,Arkansas,AR,1
2012-08-01,Arkansas,AR,5
2012-09-01,Arkansas,AR,5
2012-10-01,Arkansas,AR,0
2012-11-01,Arkansas,AR,0
2012-12-01,Arkansas,AR,4
2013-01-01,Arkansas,AR,28
2013-02-01,Arkansas,AR,2
2013-03-01,Arkansas,AR,4
2013-04-01,Arkansas,AR,13
2013-05-01,Arkansas,AR,38
2013-06-01,Arkansas,AR,30
2013-07-01,Arkansas,AR,8
2013-08-01,Arkansas,AR,26
2013-09-01,Arkansas,AR,0
2013-10-01,Arkansas,AR,8
2013-11-01,Arkansas,AR,2
2013-12-01,Arkansas,AR,66
2014-01-01,Arkansas,AR,8
2014-02-01,Arkansas,AR,3
2014-03-01,Arkansas,AR,8
2014-04-01,Arkansas,AR,36
2014-05-01,Arkansas,AR,14
2014-06-01,Arkansas,AR,56
2014-07-01,Arkansas,AR,38
2014-08-01,Arkansas,AR,20
2014-09-01,Arkansas,AR,8
2014-10-01,Arkansas,AR,10
2014-11-01,Arkansas,AR,0
2014-12-01,Arkansas,AR,0
2015-01-01,Arkansas,AR,8
2015-02-01,Arkansas,AR,1
2015-03-01,Arkansas,AR,30
2015-04-01,Arkansas,AR,32
2015-05-01,Arkansas,AR,218
2015-06-01,Arkansas,AR,66
2015-07-01,Arkansas,AR,100
2015-08-01,Arkansas,AR,8
2015-09-01,Arkansas,AR,4
2015-10-01,Arkansas,AR,0
2015-11-01,Arkansas,AR,32
2015-12-01,Arkansas,AR,111
2016-01-01,Arkansas,AR,20
2016-02-01,Arkansas,AR,0
2016-03-01,Arkansas,AR,66
2016-04-01,Arkansas,AR,0
2016-05-01,Arkansas,AR,16
2016-06-01,Arkansas,AR,12
2016-07-01,Arkansas,AR,8
2016-08-01,Arkansas,AR,21
2016-09-01,Arkansas,AR,5
2016-10-01,Arkansas,AR,0
2016-11-01,Arkansas,AR,0
2016-12-01,Arkansas,AR,4
2017-01-01,Arkansas,AR,2
2017-02-01,Arkansas,AR,1
2017-03-01,Arkansas,AR,6
2017-04-01,Arkansas,AR,158
2017-05-01,Arkansas,AR,82
2017-06-01,Arkansas,AR,22
2017-07-01,Arkansas,AR,13
2017-08-01,Arkansas,AR,30
2017-09-01,Arkansas,AR,1
2017-10-01,Arkansas,AR,0
2017-11-01,Arkansas,AR,0
2017-12-01,Arkansas,AR,12
2018-01-01,Arkansas,AR,2
2018-02-01,Arkansas,AR,234
2018-03-01,Arkansas,AR,35
2018-04-01,Arkansas,AR,16
2018-05-01,Arkansas,AR,17
2018-06-01,Arkansas,AR,8
2018-07-01,Arkansas,AR,6
2018-08-01,Arkansas,AR,25
2018-09-01,Arkansas,AR,12
2018-10-01,Arkansas,AR,0
2018-11-01,Arkansas,AR,9
2018-12-01,Arkansas,AR,11
2019-01-01,Arkansas,AR,22
2019-02-01,Arkansas,AR,159
2019-03-01,Arkansas,AR,15
2019-04-01,Arkansas,AR,50
2019-05-01,Arkansas,AR,103
2019-06-01,Arkansas,AR,72
2019-07-01,Arkansas,AR,38
2019-08-01,Arkansas,AR,21
2019-09-01,Arkansas,AR,6
2019-10-01,Arkansas,AR,21
2019-11-01,Arkansas,AR,8
2019-12-01,Arkansas,AR,3
2020-01-01,Arkansas,AR,41
2020-02-01,Arkansas,AR,24
2020-03-01,Arkansas,AR,21
2020-04-01,Arkansas,AR,18
2020-05-01,Arkansas,AR,43
2020-06-01,Arkansas,AR,25
2020-07-01,Arkansas,AR,8
2020-08-01,Arkansas,AR,35
2020-09-01,Arkansas,AR,44
2020-10-01,Arkansas,AR,6
2020-11-01,Arkansas,AR,4
2020-12-01,Arkansas,AR,2
2021-01-01,Arkansas,AR,0
2021-02-01,Arkansas,AR,0
2021-03-01,Arkansas,AR,0
2021-04-01,Arkansas,AR,0
2021-05-01,Arkansas,AR,0
2021-06-01,Arkansas,AR,0
2021-07-01,Arkansas,AR,0
2021-08-01,Arkansas,AR,0
2021-09-01,Arkansas,AR,0
2021-10-01,Arkansas,AR,0
2021-11-01,Arkansas,AR,0
2021-12-01,Arkansas,AR,0
2006-01-01,Arizona,AZ,0
2006-02-01,Arizona,AZ,0
2006-03-01,Arizona,AZ,0
2006-04-01,Arizona,AZ,0
2006-05-01,Arizona,AZ,0
2006-06-01,Arizona,AZ,0
2006-07-01,Arizona,AZ,0
2006-08-01,Arizona,AZ,0
2006-09-01,Arizona,AZ,0
2006-10-01,Arizona,AZ,7
2006-11-01,Arizona,AZ,0
2006-12-01,Arizona,AZ,0
2007-01-01,Arizona,AZ,0
2007-02-01,Arizona,AZ,0
2007-03-01,Arizona,AZ,0
2007-04-01,Arizona,AZ,0
2007-05-01,Arizona,AZ,1
2007-06-01,Arizona,AZ,0
2007-07-01,Arizona,AZ,73
2007-08-01,Arizona,AZ,29
2007-09-01,Arizona,AZ,7
2007-10-01,Arizona,AZ,0
2007-11-01,Arizona,AZ,2
2007-12-01,Arizona,AZ,3
2008-01-01,Arizona,AZ,10
2008-02-01,Arizona,AZ,0
2008-03-01,Arizona,AZ,0
2008-04-01,Arizona,AZ,0
2008-05-01,Arizona,AZ,0
2008-06-01,Arizona,AZ,3
2008-07-01,Arizona,AZ,33
2008-08-01,Arizona,AZ,30
2008-09-01,Arizona,AZ,1
2008-10-01,Arizona,AZ,0
2008-11-01,Arizona,AZ,1
2008-12-01,Arizona,AZ,0
2009-01-01,Arizona,AZ,0
2009-02-01,Arizona,AZ,0
2009-03-01,Arizona,AZ,0
2009-04-01,Arizona,AZ,0
2009-05-01,Arizona,AZ,3
2009-06-01,Arizona,AZ,2
2009-07-01,Arizona,AZ,13
2009-08-01,Arizona,AZ,3
2009-09-01,Arizona,AZ,8
2009-10-01,Arizona,AZ,0
2009-11-01,Arizona,AZ,0
2009-12-01,Arizona,AZ,0
2010-01-01,Arizona,AZ,19
2010-02-01,Arizona,AZ,1
2010-03-01,Arizona,AZ,0
2010-04-01,Arizona,AZ,0
2010-05-01,Arizona,AZ,0
2010-06-01,Arizona,AZ,0
2010-07-01,Arizona,AZ,43
2010-08-01,Arizona,AZ,32
2010-09-01,Arizona,AZ,3
2010-10-01,Arizona,AZ,5
2010-11-01,Arizona,AZ,0
2010-12-01,Arizona,AZ,3
2011-01-01,Arizona,AZ,0
2011-02-01,Arizona,AZ,0
2011-03-01,Arizona,AZ,0
2011-04-01,Arizona,AZ,0
2011-05-01,Arizona,AZ,0
2011-06-01,Arizona,AZ,0
2011-07-01,Arizona,AZ,35
2011-08-01,Arizona,AZ,24
2011-09-01,Arizona,AZ,20
2011-10-01,Arizona,AZ,1
2011-11-01,Arizona,AZ,0
2011-12-01,Arizona,AZ,0
2012-01-01,Arizona,AZ,0
2012-02-01,Arizona,AZ,0
2012-03-01,Arizona,AZ,0
2012-04-01,Arizona,AZ,0
2012-05-01,Arizona,AZ,0
2012-06-01,Arizona,AZ,0
2012-07-01,Arizona,AZ,63
2012-08-01,Arizona,AZ,49
2012-09-01,Arizona,AZ,27
2012-10-01,Arizona,AZ,2
2012-11-01,Arizona,AZ,0
2012-12-01,Arizona,AZ,0
2013-01-01,Arizona,AZ,0
2013-02-01,Arizona,AZ,0
2013-03-01,Arizona,AZ,2
2013-04-01,Arizona,AZ,0
2013-05-01,Arizona,AZ,0
2013-06-01,Arizona,AZ,0
2013-07-01,Arizona,AZ,62
2013-08-01,Arizona,AZ,51
2013-09-01,Arizona,AZ,68
2013-10-01,Arizona,AZ,0
2013-11-01,Arizona,AZ,6
2013-12-01,Arizona,AZ,0
2014-01-01,Arizona,AZ,0
2014-02-01,Arizona,AZ,0
2014-03-01,Arizona,AZ,4
2014-04-01,Arizona,AZ,0
2014-05-01,Arizona,AZ,0
2014-06-01,Arizona,AZ,0
2014-07-01,Arizona,AZ,62
2014-08-01,Arizona,AZ,122
2014-09-01,Arizona,AZ,91
2014-10-01,Arizona,AZ,4
2014-11-01,Arizona,AZ,0
2014-12-01,Arizona,AZ,0
2015-01-01,Arizona,AZ,2
2015-02-01,Arizona,AZ,0
2015-03-01,Arizona,AZ,0
2015-04-01,Arizona,AZ,0
2015-05-01,Arizona,AZ,2
2015-06-01,Arizona,AZ,0
2015-07-01,Arizona,AZ,70
2015-08-01,Arizona,AZ,62
2015-09-01,Arizona,AZ,22
2015-10-01,Arizona,AZ,19
2015-11-01,Arizona,AZ,0
2015-12-01,Arizona,AZ,0
2016-01-01,Arizona,AZ,2
2016-02-01,Arizona,AZ,0
2016-03-01,Arizona,AZ,0
2016-04-01,Arizona,AZ,0
2016-05-01,Arizona,AZ,0
2016-06-01,Arizona,AZ,11
2016-07-01,Arizona,AZ,18
2016-08-01,Arizona,AZ,71
2016-09-01,Arizona,AZ,7
2016-10-01,Arizona,AZ,1
2016-11-01,Arizona,AZ,2
2016-12-01,Arizona,AZ,5
2017-01-01,Arizona,AZ,0
2017-02-01,Arizona,AZ,5
2017-03-01,Arizona,AZ,0
2017-04-01,Arizona,AZ,0
2017-05-01,Arizona,AZ,0
2017-06-01,Arizona,AZ,0
2017-07-01,Arizona,AZ,275
2017-08-01,Arizona,AZ,85
2017-09-01,Arizona,AZ,13
2017-10-01,Arizona,AZ,0
2017-11-01,Arizona,AZ,0
2017-12-01,Arizona,AZ,0
2018-01-01,Arizona,AZ,0
2018-02-01,Arizona,AZ,0
2018-03-01,Arizona,AZ,0
2018-04-01,Arizona,AZ,0
2018-05-01,Arizona,AZ,0
2018-06-01,Arizona,AZ,4
2018-07-01,Arizona,AZ,95
2018-08-01,Arizona,AZ,172
2018-09-01,Arizona,AZ,26
2018-10-01,Arizona,AZ,0
2018-11-01,Arizona,AZ,0
2018-12-01,Arizona,AZ,0
2019-01-01,Arizona,AZ,1
2019-02-01,Arizona,AZ,41
2019-03-01,Arizona,AZ,0
2019-04-01,Arizona,AZ,1
2019-05-01,Arizona,AZ,0
2019-06-01,Arizona,AZ,0
2019-07-01,Arizona,AZ,14
2019-08-01,Arizona,AZ,24
2019-09-01,Arizona,AZ,47
2019-10-01,Arizona,AZ,0
2019-11-01,Arizona,AZ,43
2019-12-01,Arizona,AZ,4
2020-01-01,Arizona,AZ,0
2020-02-01,Arizona,AZ,5
2020-03-01,Arizona,AZ,17
2020-04-01,Arizona,AZ,1
2020-05-01,Arizona,AZ,1
2020-06-01,Arizona,AZ,0
2020-07-01,Arizona,AZ,13
2020-08-01,Arizona,AZ,26
2020-09-01,Arizona,AZ,9
2020-10-01,Arizona,AZ,0
2020-11-01,Arizona,AZ,0
2020-12-01,Arizona,AZ,0
2021-01-01,Arizona,AZ,0
2021-02-01,Arizona,AZ,0
2021-03-01,Arizona,AZ,0
2021-04-01,Arizona,AZ,0
2021-05-01,Arizona,AZ,0
2021-06-01,Arizona,AZ,0
2021-07-01,Arizona,AZ,0
2021-08-01,Arizona,AZ,0
2021-09-01,Arizona,AZ,0
2021-10-01,Arizona,AZ,0
2021-11-01,Arizona,AZ,0
2021-12-01,Arizona,AZ,0
2006-01-01,California,CA,0
2006-02-01,California,CA,0
2006-03-01,California,CA,0
2006-04-01,California,CA,0
2006-05-01,California,CA,0
2006-06-01,California,CA,0
2006-07-01,California,CA,0
2006-08-01,California,CA,0
2006-09-01,California,CA,0
2006-10-01,California,CA,4
2006-11-01,California,CA,0
2006-12-01,California,CA,0
2007-01-01,California,CA,0
2007-02-01,California,CA,1
2007-03-01,California,CA,0
2007-04-01,California,CA,0
2007-05-01,California,CA,0
2007-06-01,California,CA,0
2007-07-01,California,CA,5
2007-08-01,California,CA,12
2007-09-01,California,CA,17
2007-10-01,California,CA,6
2007-11-01,California,CA,2
2007-12-01,California,CA,4
2008-01-01,California,CA,35
2008-02-01,California,CA,3
2008-03-01,California,CA,0
2008-04-01,California,CA,0
2008-05-01,California,CA,8
2008-06-01,California,CA,0
2008-07-01,California,CA,26
2008-08-01,California,CA,11
2008-09-01,California,CA,2
2008-10-01,California,CA,4
2008-11-01,California,CA,1
2008-12-01,California,CA,5
